X,Y,X,Y,X,Y,X,Y
748.323,2541,747.008,1184,747.008,9572,749.106,12484
750.386,2295,749.072,1002,749.072,9666,751.167,12548
752.448,2484,751.135,961,751.135,8965,753.228,12429
754.509,2374,753.197,1008,753.197,9236,755.289,11868
756.57,2192,755.259,961,755.259,9095,757.348,11832
758.63,2109,757.321,870,757.321,9266,759.408,11842
760.689,2081,759.382,643,759.382,8782,761.466,11187
762.749,1804,761.442,586,761.442,8738,763.524,11296
764.807,1636,763.502,508,763.502,8754,765.582,10950
766.865,1614,765.561,617,765.561,8558,767.639,10875
768.922,1496,767.619,578,767.619,8330,769.695,11019
770.979,1665,769.677,548,769.677,8500,771.751,10063
773.035,1737,771.735,586,771.735,8330,773.806,10673
775.091,1525,773.792,562,773.792,8547,775.861,10452
777.146,1938,775.848,598,775.848,8476,777.915,10838
779.201,1744,777.904,671,777.904,8364,779.968,10086
781.255,1666,779.959,693,779.959,8304,782.021,10256
783.308,1639,782.014,628,782.014,8306,784.074,10152
785.361,1697,784.068,614,784.068,8616,786.126,10515
787.413,1620,786.121,697,786.121,8496,788.177,10346
789.465,1634,788.174,642,788.174,8753,790.228,10196
791.516,1645,790.227,572,790.227,8627,792.278,10305
793.567,1683,792.278,516,792.278,8619,794.327,10481
795.617,1522,794.33,584,794.33,8771,796.377,10111
797.666,1518,796.38,615,796.38,8626,798.425,10197
799.715,1557,798.431,612,798.431,8454,800.473,10027
801.763,1647,800.48,627,800.48,9104,802.52,10172
803.811,1760,802.529,636,802.529,8797,804.567,10158
805.858,1738,804.578,713,804.578,8847,806.613,9990
807.905,1706,806.625,787,806.625,8913,808.659,10226
809.951,2097,808.673,827,808.673,9097,810.704,10103
811.997,2084,810.72,933,810.72,9587,812.748,10034
814.042,2012,812.766,953,812.766,9194,814.792,10057
816.086,2144,814.811,858,814.811,9651,816.836,10507
818.13,2082,816.856,858,816.856,9916,818.879,10540
820.173,2050,818.901,756,818.901,9400,820.921,10332
822.216,2055,820.945,758,820.945,9734,822.963,10267
824.258,1794,822.988,750,822.988,9137,825.004,10114
826.3,1819,825.031,588,825.031,9316,827.044,9655
828.341,1579,827.073,627,827.073,9184,829.084,9734
830.381,1692,829.115,582,829.115,9096,831.124,9722
832.421,1697,831.156,654,831.156,9451,833.163,9815
834.46,1890,833.197,666,833.197,9556,835.201,9481
836.499,1926,835.237,631,835.237,9040,837.239,9486
838.537,1743,837.276,749,837.276,9224,839.276,9716
840.575,1750,839.315,598,839.315,9496,841.313,9190
842.612,1858,841.353,679,841.353,9362,843.349,8756
844.649,2042,843.391,692,843.391,9833,845.384,8924
846.685,2119,845.428,782,845.428,9312,847.419,9255
848.72,2047,847.465,741,847.465,9382,849.454,8748
850.755,1902,849.501,594,849.501,9473,851.488,8732
852.789,1757,851.537,521,851.537,9200,853.521,8393
854.823,1544,853.572,606,853.572,8791,855.554,8444
856.856,1818,855.606,624,855.606,8903,857.586,8143
858.889,1779,857.64,731,857.64,9065,859.617,7975
860.921,1943,859.673,749,859.673,8946,861.648,7802
862.952,1893,861.706,870,861.706,9337,863.679,7591
864.983,2152,863.738,933,863.738,9352,865.709,7264
867.014,2016,865.77,958,865.77,9046,867.738,7455
869.043,2052,867.801,849,867.801,9267,869.767,7590
871.073,1792,869.831,823,869.831,9107,871.795,7720
873.101,1772,871.861,750,871.861,8888,873.823,7404
875.129,1683,873.89,686,873.89,8750,875.85,7301
877.157,1664,875.919,722,875.919,8914,877.877,7015
879.184,1675,877.947,659,877.947,9162,879.903,7209
881.21,1792,879.975,682,879.975,9094,881.928,7136
883.236,1615,882.002,697,882.002,9234,883.953,7308
885.262,1723,884.029,596,884.029,9320,885.977,6949
887.286,1901,886.055,720,886.055,9406,888.001,7081
889.311,2010,888.08,728,888.08,9298,890.024,7152
891.334,1766,890.105,745,890.105,9334,892.047,7016
893.357,1781,892.129,739,892.129,9482,894.069,6953
895.38,1789,894.153,595,894.153,9232,896.091,7021
897.402,1771,896.176,724,896.176,9616,898.112,6878
899.423,1877,898.199,624,898.199,9644,900.132,6808
901.444,1959,900.221,713,900.221,9629,902.152,6965
903.465,2115,902.243,709,902.243,9947,904.171,6641
905.484,2228,904.264,852,904.264,9928,906.19,6838
907.503,2294,906.284,945,906.284,9796,908.208,6829
909.522,2210,908.304,859,908.304,10177,910.226,6662
911.54,2278,910.323,792,910.323,9833,912.243,6325
913.558,2034,912.342,772,912.342,10142,914.259,6852
915.575,1886,914.36,744,914.36,9950,916.275,6610
917.591,1933,916.378,758,916.378,10464,918.291,6610
919.607,1906,918.395,723,918.395,10296,920.305,6552
921.622,1918,920.411,692,920.411,9588,922.32,6536
923.637,2337,922.427,720,922.427,10440,924.333,6500
925.651,2029,924.443,750,924.443,10354,926.347,6352
927.665,1926,926.458,671,926.458,10398,928.359,6420
929.678,1784,928.472,638,928.472,10319,930.371,6544
931.69,1861,930.486,607,930.486,9806,932.383,6257
933.702,1806,932.499,607,932.499,10026,934.394,6517
935.713,1871,934.511,610,934.511,10216,936.404,5993
937.724,1738,936.523,617,936.523,10149,938.414,5996
939.735,1866,938.535,576,938.535,9965,940.423,6201
941.744,1836,940.546,584,940.546,10421,942.432,5990
943.753,1891,942.556,586,942.556,10725,944.44,5869
945.762,2092,944.566,630,944.566,10519,946.448,5920
947.77,1967,946.575,594,946.575,10542,948.455,5833
949.778,2023,948.584,597,948.584,9983,950.461,5864
951.784,1942,950.592,649,950.592,9873,952.467,6084
953.791,2022,952.6,667,952.6,10262,954.472,5973
955.797,1993,954.607,726,954.607,10082,956.477,5837
957.802,1833,956.613,731,956.613,10127,958.481,5867
